ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
31074,5.0,261.4,382,59,163.9,382,1.5948749237339839
31605,5.0,261.0,409,60,164.3,409,1.5885575167376749
13479,6.0,184.3,247,26,148.8,247,1.2385752688172043
13793,6.0,242.2,315,27,180.0,315,1.3455555555555554
14497,6.0,227.3,272,28,172.8,272,1.3153935185185186
14804,6.0,188.0,289,29,150.4,289,1.25
15495,6.0,204.8,295,30,160.2,295,1.2784019975031213
11078,7.0,246.5,202,21,165.1,202,1.4930345245305876
11388,7.0,247.5,323,22,166.2,323,1.4891696750902528
11985,7.0,244.9,335,23,162.9,335,1.503376304481277
12451,7.0,253.7,344,24,168.6,344,1.5047449584816133
12993,7.0,267.7,350,25,173.9,350,1.5393904542840713
13461,7.0,278.0,380,26,175.4,380,1.5849486887115165
13928,7.0,271.4,340,27,172.2,340,1.576074332171893
14526,7.0,270.0,324,28,171.5,324,1.5743440233236152
15013,7.0,268.4,315,29,172.0,315,1.5604651162790697
15474,7.0,279.2,352,30,174.9,352,1.5963407661520868
15972,7.0,283.7,393,31,176.9,393,1.6037309214245334
16536,7.0,281.8,396,32,171.6,396,1.6421911421911424
17006,7.0,282.6,420,33,173.9,420,1.6250718803910293
17555,7.0,288.3,435,34,176.7,435,1.6315789473684212
17932,7.0,301.0,480,35,183.7,480,1.638541099618944
18423,7.0,305.2,521,36,188.4,521,1.6199575371549892
18950,7.0,299.1,548,37,186.9,548,1.6003210272873194
19516,7.0,295.4,569,38,182.8,569,1.6159737417943105
20061,7.0,292.3,575,39,181.3,575,1.6122448979591837
20706,7.0,301.5,574,40,185.4,574,1.6262135922330097
21188,7.0,305.6,579,41,180.6,579,1.692137320044297
21869,7.0,286.0,565,42,177.8,565,1.608548931383577
22202,7.0,306.5,610,43,187.2,610,1.637286324786325
22857,7.0,280.2,582,44,175.8,582,1.5938566552901021
23335,7.0,307.3,611,45,185.1,611,1.6601836844948679
23708,7.0,341.6,561,46,200.3,561,1.7054418372441338
24339,7.0,372.3,559,47,215.5,559,1.7276102088167054
25008,7.0,308.8,585,48,187.6,585,1.6460554371002134
25715,7.0,381.6,378,49,213.0,378,1.791549295774648
25894,7.0,376.2,526,50,208.0,526,1.8086538461538462
26407,7.0,429.1,543,51,230.6,543,1.8607979184735475
27006,7.0,376.0,546,52,211.9,546,1.7744218971212835
27722,7.0,311.7,543,53,187.5,543,1.6623999999999999
28482,7.0,281.2,513,54,177.3,513,1.5860124083474336
28999,7.0,280.3,513,55,174.1,513,1.6099942561746123
29512,7.0,279.2,527,56,175.0,527,1.5954285714285714
30042,7.0,288.9,429,57,177.5,429,1.6276056338028169
30649,7.0,322.0,310,58,189.4,310,1.700105596620908
31117,7.0,305.9,468,59,184.2,468,1.6606948968512487
31780,7.0,289.2,382,60,177.9,382,1.6256323777403034
5523,8.0,335.5,180,11,194.2,180,1.727600411946447
6272,8.0,343.3,170,12,188.9,170,1.8173636844891476
6910,8.0,390.8,251,14,205.2,251,1.9044834307992204
7503,8.0,402.8,319,15,209.7,319,1.9208392942298522
7993,8.0,419.6,298,16,222.0,298,1.89009009009009
8574,8.0,422.7,360,17,219.7,360,1.9239872553482023
9212,8.0,447.7,517,18,226.1,517,1.9800973020787263
9697,8.0,441.1,540,19,226.0,540,1.951769911504425
10275,8.0,434.7,543,20,232.3,543,1.8712871287128712
10685,8.0,456.4,546,21,242.0,546,1.8859504132231404
11199,8.0,444.3,523,22,236.6,523,1.8778529163144548
11679,8.0,427.3,509,23,225.7,509,1.8932210899424016
12212,8.0,434.3,545,24,207.3,545,2.095031355523396
12708,8.0,418.5,550,25,203.9,550,2.0524767042667973
13362,8.0,439.0,566,26,212.1,566,2.0697784064120697
14013,8.0,440.5,538,27,208.3,538,2.114738358137302
14464,8.0,434.2,558,28,216.7,558,2.003691739732349
15049,8.0,437.7,581,29,215.8,581,2.0282669138090825
15499,8.0,461.2,620,30,218.7,620,2.1088248742569733
15862,8.0,473.2,630,31,228.9,630,2.0672782874617734
16436,8.0,454.1,585,32,224.1,585,2.0263275323516288
16933,8.0,466.4,628,33,217.4,628,2.1453541858325664
17636,8.0,466.3,588,34,217.1,588,2.147858129894058
18031,8.0,470.0,613,35,231.2,613,2.0328719723183393
18568,8.0,503.5,644,36,237.4,644,2.12089300758214
19022,8.0,495.0,644,37,237.0,644,2.088607594936709
19548,8.0,489.3,646,38,247.3,646,1.978568540234533
20122,8.0,490.8,610,39,249.2,610,1.969502407704655
20630,8.0,483.6,655,40,245.2,655,1.972267536704731
21104,8.0,496.8,670,41,245.8,670,2.021155410903173
21582,8.0,477.1,689,42,246.0,689,1.939430894308943
22115,8.0,472.1,700,43,229.1,700,2.060672195547796
22716,8.0,480.3,704,44,236.2,704,2.033446232006774
23168,8.0,471.1,715,45,234.2,715,2.0115286080273274
23687,8.0,460.8,670,46,230.0,670,2.0034782608695654
24254,8.0,436.8,612,47,225.0,612,1.9413333333333334
24788,8.0,445.8,640,48,231.7,640,1.924039706517048
25358,8.0,423.1,508,49,221.9,508,1.9067147363677333
25869,8.0,430.9,560,50,233.5,560,1.8453961456102783
26415,8.0,438.0,554,51,234.7,554,1.866212185769067
26997,8.0,433.7,567,52,234.1,567,1.8526270824434004
27519,8.0,453.5,573,53,236.1,573,1.9207962727657772
28080,8.0,453.5,549,54,243.4,549,1.8631881676253081
28622,8.0,475.7,576,55,252.1,576,1.8869496231654106
29178,8.0,475.4,544,56,259.7,544,1.830573738929534
29706,8.0,465.3,503,57,254.7,503,1.8268551236749118
30252,8.0,452.2,497,58,247.8,497,1.8248587570621468
30811,8.0,452.7,508,59,249.3,508,1.8158844765342959
31344,8.0,443.2,525,60,235.5,525,1.8819532908704883
2932,9.0,291.4,82,6,187.2,82,1.5566239316239316
3511,9.0,226.5,81,7,158.3,81,1.430827542640556
19893,10.0,195.4,108,38,147.3,108,1.3265444670739985
20381,10.0,209.5,136,39,154.3,136,1.357744653272845
15698,11.0,220.0,194,30,166.5,194,1.3213213213213213
16194,11.0,233.4,243,31,177.1,243,1.3178994918125353
16608,11.0,289.6,384,32,216.1,384,1.3401203146691347
17163,11.0,279.8,766,33,214.1,766,1.3068659504904252
17676,11.0,285.0,789,34,219.0,789,1.3013698630136987
18219,11.0,278.2,812,35,214.8,812,1.2951582867783984
18795,11.0,282.6,727,36,215.7,727,1.3101529902642561
19298,11.0,258.7,685,37,201.2,685,1.2857852882703777
19886,11.0,264.3,697,38,203.7,697,1.2974963181148749
20406,11.0,271.2,232,39,211.4,232,1.282876064333018
20855,11.0,282.1,201,40,223.6,201,1.2616279069767444
21455,11.0,260.8,132,41,205.7,132,1.2678658240155567
2866,12.0,311.1,252,6,203.1,252,1.531757754800591
